prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,['Respreeza'],Protein,"genetic disorder, hemorrhage, lung disease",Neutrophil elastase,ELANE,Enzyme,Leukocyte elastase inhibitor
ABALOPARATIDE,['Eladynos' 'Tymlos'],Protein,"osteoporosis, postmenopausal osteoporosis",Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R,Membrane receptor,Parathyroid hormone receptor agonist
ABARELIX,['Plenaxis'],Protein,neoplasm,Gonadotropin-releasing hormone receptor,GNRHR,Membrane receptor,Gonadotropin-releasing hormone receptor antagonist
ABATACEPT,['Orencia' 'Orencia clickject'],Protein,"immune system disease, juvenile idiopathic arthritis, psoriatic arthritis, rheumatoid arthritis","T-lymphocyte activation antigen CD80, T-lymphocyte activation antigen CD86","CD80, CD86",Surface antigen,"T-lymphocyte activation antigen CD80 inhibitor, T-lymphocyte activation antigen CD86 inhibitor"
ABCIXIMAB,['Reopro'],Antibody,"Recurrent thrombophlebitis, intermediate coronary syndrome",Integrin alpha-V/beta-3,ITGB3,Membrane receptor,Integrin alpha-V/beta-3 inhibitor
ABEMACICLIB,['Verzenio' 'Verzenios'],Small molecule,"breast cancer, breast carcinoma, breast neoplasm, neoplasm","Cyclin-dependent kinase 4, Cyclin-dependent kinase 6","CDK4, CDK6","Enzyme, Other cytosolic protein","Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 6 inhibitor"
ABIRATERONE,['Zytiga'],Small molecule,neoplasm,"Androgen receptor, Steroid 17-alpha-hydroxylase/17,20 lyase, Steroid 5-alpha-reductase","AR, CYP17A1, SRD5A1, SRD5A2, SRD5A3","Enzyme, Transcription factor","Androgen Receptor antagonist, Cytochrome P450 17A1 inhibitor, Steroid 5-alpha-reductase inhibitor"
ABIRATERONE ACETATE,"['Abiraterone accord' 'Abiraterone acetate component of akeega'
 'Abiraterone krka' 'Abiraterone mylan' 'Yonsa' 'Zytiga']",Small molecule,"metastatic prostate cancer, prostate cancer, prostate carcinoma","Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,Enzyme,Cytochrome P450 17A1 inhibitor
ABROCITINIB,['Cibinqo'],Small molecule,"Eczematoid dermatitis, atopic eczema",Tyrosine-protein kinase JAK1,JAK1,Enzyme,Tyrosine-protein kinase JAK1 inhibitor
ACALABRUTINIB,[],Small molecule,"Mantle cell lymphoma, chronic lymphocytic leukemia, neoplasm",Tyrosine-protein kinase BTK,BTK,"Enzyme, Unclassified protein",Tyrosine-protein kinase BTK inhibitor
ACALABRUTINIB MALEATE,['Calquence'],Small molecule,"Mantle cell lymphoma, chronic lymphocytic leukemia",Tyrosine-protein kinase BTK,BTK,"Enzyme, Unclassified protein",Tyrosine-protein kinase BTK inhibitor
ACAMPROSATE,['Aotal'],Small molecule,alcohol dependence,"GABA-A receptor; anion channel, Glutamate [NMDA] receptor","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,"GABA-A receptor; anion channel positive modulator, Glutamate [NMDA] receptor antagonist"
ACAMPROSATE CALCIUM,['Acamprosate calcium' 'Campral' 'Campral ec'],Small molecule,alcohol dependence,"GABA-A receptor; anion channel, Glutamate [NMDA] receptor","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,"GABA-A receptor; anion channel positive modulator, Glutamate [NMDA] receptor antagonist"
ACEBUTOLOL,[],Small molecule,cardiovascular disease,Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
ACEBUTOLOL HYDROCHLORIDE,"['Acebut hcl' 'Acebutolol hydrochloride' 'Sectral' 'Sectral 200'
 'Sectral 400']",Small molecule,"Ventricular arrhythmia, hypertension",Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
ACECLOFENAC,['Gerbin' 'Preservex'],Small molecule,"Arthralgia, Myalgia, osteoarthritis, rheumatic disease, rheumatoid arthritis, spondylitis",Prostaglandin G/H synthase 2,PTGS2,Enzyme,Cyclooxygenase-2 inhibitor
ACEMETACIN,['Emflex'],Small molecule,rheumatic disease,Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
ACENOCOUMAROL,['Sinthrome'],Small molecule,Recurrent thrombophlebitis,Vitamin K epoxide reductase complex subunit 1,VKORC1,Enzyme,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor
